Ram Jaane;MOVIE;5;1995;172;[action, drama, romance, crime];0;5.4;3901
Chamatkar;MOVIE;9;1992;171;[comedy, fantasy, drama, crime];0;6.5;6199
Soldier;MOVIE;9;1998;156;[thriller, action, drama, romance];0;6.2;3025
Okupas;SHOW;7;2000;40;[crime, drama];1;0.9;2326
Hum Saath Saath Hain;MOVIE;10;1999;177;[fantasy, romance, family, drama];0;6.2;8454
Kabhi Haan Kabhi Naa;MOVIE;4;1994;158;[comedy, drama, music, romance];0;7.6;18224
Nightmare in Columbia County;MOVIE;2;1991;100;[drama, crime, thriller];0;5.5;341
Phir Bhi Dil Hai Hindustani;MOVIE;3;2000;160;[comedy, romance, drama];0;6.1;7556
Sam Kinison: Family Entertainment Hour;MOVIE;11;1991;49;[comedy];0;0;0
Jeans;MOVIE;6;1998;175;[drama, romance, comedy];0;6.4;3567
Chaahat;MOVIE;11;1996;155;[drama, romance];0;5.5;2837
Hum Aapke Hain Koun..!;MOVIE;4;1994;206;[romance, comedy, drama];0;7.5;20986
Maya Memsaab;MOVIE;7;1993;126;[romance, drama, thriller];0;5.4;2177
Out of Life;MOVIE;5;1991;97;[war, drama, crime, european];0;6.9;365
Duplicate;MOVIE;11;1998;165;[comedy, action, crime, thriller];0;5.5;7557
Govindha Govindha;MOVIE;3;1993;145;[drama, action, crime];0;6.6;351
Damini;MOVIE;3;1993;180;[drama, crime];0;7.8;3490
English Babu Desi Mem;MOVIE;5;1996;172;[romance, comedy, drama];0;4.5;2322
Before the Flying Circus;MOVIE;3;2000;55;[comedy, documentation];0;7.3;161
Sam Kinison: Live in Vegas;MOVIE;6;1991;72;[comedy, music, documentation];0;6.6;272
Anjaam;MOVIE;7;1994;146;[thriller, romance, drama];0;6.6;6465
Mann;MOVIE;7;1999;174;[drama, romance];0;6.1;5413
Monty Python: Live at Aspen;MOVIE;5;1998;58;[comedy, documentation];0;7.8;1092
Sinbad: Afros and Bellbottoms;MOVIE;2;1993;59;[comedy, documentation];0;7.8;166
The Other;MOVIE;1;1999;106;[drama, european, romance];0;5.9;987
Sinbad: Son of a Preacher Man;MOVIE;7;1996;56;[comedy, documentation];0;6.7;115
Children of Shatila;MOVIE;5;1999;50;[documentation, history];0;8.2;74
Gumrah;MOVIE;11;1993;149;[action, crime, drama, thriller];0;6.1;784
The Emigrant;MOVIE;11;1994;129;[drama];0;6.5;998
Yodha;MOVIE;3;1991;142;[drama, action];0;4.5;198
Avvai Shanmugi;MOVIE;1;1996;160;[drama, comedy];0;7.9;2528
Minsara Kanavu;MOVIE;9;1997;145;[comedy, drama, romance];0;6.7;1212
Chronicle of a Disappearance;MOVIE;9;1996;88;[drama];0;6.9;718
Yaar Gaddar;MOVIE;4;1994;147;[crime, action, drama];0;3.6;142
Sinbad: Nothin but the Funk;MOVIE;12;1998;55;[comedy, documentation];0;6.2;65
Dushmani;MOVIE;12;1995;156;[romance, action, drama];0;0.5;248
Fiza;MOVIE;6;2000;170;[drama, romance, action, crime];0;0.6;4168
Hello Brother;MOVIE;10;1999;131;[romance, action, comedy, fantasy];0;4.6;4230
Have You Ever Seen Fireflies? - Theatre Play;MOVIE;1;1999;118;[drama, comedy];0;0;0
Shikari;MOVIE;3;1991;162;[drama, action];0;5.9;66
One Last Shot;MOVIE;12;1998;30;[unknown];0;0;0
Breaking Bad;SHOW;11;2008;48;[drama, thriller, crime];5;9.5;1727694
The Walking Dead;SHOW;12;2010;46;[action, drama, scifi, thriller, horror];11;8.2;945125
The Staircase;SHOW;6;2004;49;[crime, documentation, drama];2;7.8;21531
Downton Abbey;SHOW;2;2010;58;[drama, romance, european];6;8.7;197744
Greys Anatomy;SHOW;3;2005;49;[drama, romance];18;7.6;293618
The Great British Baking Show;SHOW;2;2010;57;[reality, european];12;8.6;9564
Criminal Minds;SHOW;2;2005;44;[thriller, crime, drama];15;8.1;189191
NCIS;SHOW;3;2003;44;[action, drama, crime, thriller, comedy];19;7.8;141049
Community;SHOW;12;2009;23;[comedy];6;8.5;252564
Heartland;SHOW;12;2007;44;[drama, family];15;8.4;15743
Supernatural;SHOW;1;2005;45;[scifi, thriller, drama, fantasy, horror];15;8.5;428639
Forgetting Sarah Marshall;MOVIE;5;2008;111;[comedy, drama, romance];0;7.1;280121
War of the Worlds;MOVIE;6;2005;117;[thriller, action, scifi];0;6.5;439027
Arrested Development;SHOW;3;2003;28;[comedy];5;8.7;297552
The IT Crowd;SHOW;1;2006;25;[comedy, european];5;8.5;147409
30 Rock;SHOW;7;2006;25;[comedy, sport];7;8.3;121514
Avatar: The Last Airbender;SHOW;9;2005;24;[scifi, family, fantasy, animation, action];3;9.3;297336
Inception;MOVIE;12;2010;148;[scifi, music, thriller, action];0;8.8;2268288
The Other Guys;MOVIE;2;2010;107;[crime, action, comedy];0;6.6;263019
How to Train Your Dragon;MOVIE;10;2010;98;[fantasy, animation, action, comedy, family, drama];0;8.1;719717
Friday Night Lights;SHOW;9;2006;43;[drama, sport];5;8.7;64449
Casino Royale;MOVIE;4;2006;139;[thriller, action, european];0;0.8;644336
Michael Clayton;MOVIE;1;2007;120;[thriller, crime, drama];0;7.2;163878
My Little Pony: Friendship Is Magic;SHOW;5;2010;22;[scifi, animation, drama, fantasy, music, comedy, family];9;7.6;20708
